id,age,education,ethnicity,gender,hours_per_week,income,ethnicity_gender,ethnicity_income,gender_income,ethnicity_gender_income,d_0,d_1,d_2,d_3,d_4,d_5
5552,41,9,1,Male,40,<=50K,0,0,0,0,0.13140452585332338,-0.43407373818921136,0.37623464940848433,-0.7113537069458078,-0.06759815365726257,-0.5742710457985439
6653,57,16,1,Female,25,<=50K,1,0,1,1,1.2853410865850308,2.345904456984146,0.37623464940848433,1.4057704208690962,-1.3271910789478698,-0.5742710457985439
11687,31,13,1,Female,40,<=50K,1,0,1,1,-0.5898058246039938,1.1544852304812785,0.37623464940848433,1.4057704208690962,-0.06759815365726257,-0.5742710457985439
10283,55,11,1,Male,20,<=50K,0,0,0,0,1.1410990164935673,0.36020574614603357,0.37623464940848433,-0.7113537069458078,-1.7470553873780723,-0.5742710457985439
26724,59,6,1,Male,40,<=50K,0,0,0,0,1.429583156676494,-1.6254929646920788,0.37623464940848433,-0.7113537069458078,-0.06759815365726257,-0.5742710457985439
20996,29,10,1,Male,45,>50K,0,1,2,2,-0.7340478946954572,-0.03693399602158888,0.37623464940848433,-0.7113537069458078,0.3522661547729399,1.741338009840746
11776,50,14,1,Female,60,<=50K,1,0,1,1,0.7804938412649087,1.551624972648901,0.37623464940848433,1.4057704208690962,1.6118590800635473,-0.5742710457985439
1210,45,8,1,Male,40,<=50K,0,0,0,0,0.4198886660362502,-0.8312134803568338,0.37623464940848433,-0.7113537069458078,-0.06759815365726257,-0.5742710457985439
24651,42,10,1,Male,40,>50K,0,1,2,2,0.20352556089905507,-0.03693399602158888,0.37623464940848433,-0.7113537069458078,-0.06759815365726257,1.741338009840746
3837,22,10,0,Male,40,<=50K,2,2,0,3,-1.2388951400155792,-0.03693399602158888,-2.657915749047034,-0.7113537069458078,-0.06759815365726257,-0.5742710457985439
5128,56,16,1,Male,56,<=50K,0,0,0,0,1.213220051539299,2.345904456984146,0.37623464940848433,-0.7113537069458078,1.2759676333193852,-0.5742710457985439
8775,42,9,1,Male,50,<=50K,0,0,0,0,0.20352556089905507,-0.43407373818921136,0.37623464940848433,-0.7113537069458078,0.7721304632031423,-0.5742710457985439
6384,35,10,1,Male,40,>50K,0,1,2,2,-0.3013216844210669,-0.03693399602158888,0.37623464940848433,-0.7113537069458078,-0.06759815365726257,1.741338009840746
11854,38,10,1,Male,60,>50K,0,1,2,2,-0.08495857928387175,-0.03693399602158888,0.37623464940848433,-0.7113537069458078,1.6118590800635473,1.741338009840746
2571,21,10,1,Female,30,<=50K,1,0,1,1,-1.3110161750613107,-0.03693399602158888,0.37623464940848433,1.4057704208690962,-0.9073267705176674,-0.5742710457985439
7110,34,10,1,Male,50,>50K,0,1,2,2,-0.3734427194667986,-0.03693399602158888,0.37623464940848433,-0.7113537069458078,0.7721304632031423,1.741338009840746
6613,23,5,1,Male,39,<=50K,0,0,0,0,-1.1667741049698475,-2.022632706859701,0.37623464940848433,-0.7113537069458078,-0.15157101534330306,-0.5742710457985439
